Stratifying data
Stratifying data
Window size: (7, 7)
24 Accuracy:  65.01794974072597  predictions:  {0: 1423, 1: 900, 2: 184}
25 Accuracy:  65.85560430793778  predictions:  {0: 1428, 1: 890, 2: 189}
26 Accuracy:  66.13482249700837  predictions:  {0: 1342, 1: 916, 2: 249}
27 Accuracy:  66.094934184284  predictions:  {0: 1444, 1: 794, 2: 269}
28 Accuracy:  65.41683286796969  predictions:  {0: 1470, 1: 842, 2: 195}
29 Accuracy:  65.33705624252094  predictions:  {0: 1463, 1: 818, 2: 226}
30 Accuracy:  66.01515755883526  predictions:  {0: 1449, 1: 832, 2: 226}
31 Accuracy:  65.3769445552453  predictions:  {0: 1329, 1: 895, 2: 283}
32 Accuracy:  65.69605105704028  predictions:  {0: 1399, 1: 887, 2: 221}
33 Accuracy:  66.17471080973274  predictions:  {0: 1404, 1: 881, 2: 222}
34 Accuracy:  66.21459912245712  predictions:  {0: 1403, 1: 928, 2: 176}
35 Accuracy:  65.17750299162346  predictions:  {0: 1384, 1: 951, 2: 172}
36 Accuracy:  65.97526924611088  predictions:  {0: 1444, 1: 857, 2: 206}
37 Accuracy:  66.17471080973274  predictions:  {0: 1356, 1: 923, 2: 228}
38 Accuracy:  64.85839648982848  predictions:  {0: 1460, 1: 911, 2: 136}
39 Accuracy:  65.61627443159155  predictions:  {0: 1480, 1: 826, 2: 201}
40 Accuracy:  65.69605105704028  predictions:  {0: 1390, 1: 911, 2: 206}
41 Accuracy:  65.8157159952134  predictions:  {0: 1441, 1: 805, 2: 261}
42 Accuracy:  65.65616274431592  predictions:  {0: 1413, 1: 879, 2: 215}
43 Accuracy:  65.21739130434783  predictions:  {0: 1538, 1: 830, 2: 139}
44 Accuracy:  65.2572796170722  predictions:  {0: 1434, 1: 851, 2: 222}
45 Accuracy:  66.49381731152772  predictions:  {0: 1320, 1: 919, 2: 268}
46 Accuracy:  66.17471080973274  predictions:  {0: 1381, 1: 860, 2: 266}
47 Accuracy:  65.3769445552453  predictions:  {0: 1451, 1: 843, 2: 213}
48 Accuracy:  65.01794974072597  predictions:  {0: 1397, 1: 769, 2: 341}
49 Accuracy:  64.77861986437973  predictions:  {0: 1426, 1: 918, 2: 163}
Stratifying data
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  60.449257922182106  predictions:  {0: 1469, 1: 1024}
1 Accuracy:  61.893301243481744  predictions:  {0: 1453, 1: 999, 2: 41}
2 Accuracy:  62.374649017248295  predictions:  {0: 1381, 1: 1065, 2: 47}
3 Accuracy:  62.855996791014846  predictions:  {0: 1401, 1: 1021, 2: 71}
4 Accuracy:  63.21700762133975  predictions:  {0: 1449, 1: 950, 2: 94}
5 Accuracy:  63.77858002406739  predictions:  {0: 1371, 1: 1002, 2: 120}
6 Accuracy:  63.6983553951063  predictions:  {0: 1398, 1: 989, 2: 106}
7 Accuracy:  64.0593662254312  predictions:  {0: 1382, 1: 975, 2: 136}
8 Accuracy:  63.898916967509024  predictions:  {0: 1395, 1: 962, 2: 136}
9 Accuracy:  64.46048937023666  predictions:  {0: 1417, 1: 947, 2: 129}
10 Accuracy:  64.82150020056157  predictions:  {0: 1335, 1: 979, 2: 179}
11 Accuracy:  63.85880465302848  predictions:  {0: 1479, 1: 911, 2: 103}
12 Accuracy:  64.38026474127557  predictions:  {0: 1347, 1: 996, 2: 150}
13 Accuracy:  65.06217408744484  predictions:  {0: 1373, 1: 927, 2: 193}
14 Accuracy:  65.22262334536703  predictions:  {0: 1346, 1: 965, 2: 182}
15 Accuracy:  65.42318491776975  predictions:  {0: 1288, 1: 1028, 2: 177}
16 Accuracy:  65.0220617729643  predictions:  {0: 1354, 1: 1033, 2: 106}
17 Accuracy:  65.66385880465303  predictions:  {0: 1355, 1: 931, 2: 207}
18 Accuracy:  65.06217408744484  predictions:  {0: 1326, 1: 970, 2: 197}
19 Accuracy:  64.74127557160048  predictions:  {0: 1390, 1: 925, 2: 178}
20 Accuracy:  65.70397111913357  predictions:  {0: 1319, 1: 938, 2: 236}
21 Accuracy:  65.66385880465303  predictions:  {0: 1400, 1: 933, 2: 160}
22 Accuracy:  66.02486963497793  predictions:  {0: 1351, 1: 957, 2: 185}
23 Accuracy:  65.54352186121139  predictions:  {0: 1335, 1: 962, 2: 196}
24 Accuracy:  65.86442037705575  predictions:  {0: 1365, 1: 895, 2: 233}
25 Accuracy:  65.70397111913357  predictions:  {0: 1353, 1: 906, 2: 234}
26 Accuracy:  65.0220617729643  predictions:  {0: 1428, 1: 838, 2: 227}
27 Accuracy:  65.62374649017248  predictions:  {0: 1425, 1: 911, 2: 157}
28 Accuracy:  64.66105094263939  predictions:  {0: 1376, 1: 889, 2: 228}
29 Accuracy:  65.0220617729643  predictions:  {0: 1431, 1: 892, 2: 170}
30 Accuracy:  65.1022864019254  predictions:  {0: 1254, 1: 943, 2: 296}
31 Accuracy:  65.50340954673085  predictions:  {0: 1251, 1: 1004, 2: 238}
32 Accuracy:  64.98194945848375  predictions:  {0: 1327, 1: 912, 2: 254}
33 Accuracy:  65.26273565984756  predictions:  {0: 1315, 1: 899, 2: 279}
34 Accuracy:  65.30284797432812  predictions:  {0: 1382, 1: 943, 2: 168}
35 Accuracy:  65.30284797432812  predictions:  {0: 1303, 1: 955, 2: 235}
36 Accuracy:  65.1022864019254  predictions:  {0: 1276, 1: 938, 2: 279}
37 Accuracy:  64.74127557160048  predictions:  {0: 1286, 1: 947, 2: 260}
38 Accuracy:  65.66385880465303  predictions:  {0: 1357, 1: 960, 2: 176}
39 Accuracy:  65.34296028880865  predictions:  {0: 1329, 1: 921, 2: 243}
40 Accuracy:  65.1022864019254  predictions:  {0: 1280, 1: 970, 2: 243}
41 Accuracy:  65.06217408744484  predictions:  {0: 1324, 1: 911, 2: 258}
42 Accuracy:  65.18251103088647  predictions:  {0: 1209, 1: 1016, 2: 268}
43 Accuracy:  65.34296028880865  predictions:  {0: 1464, 1: 890, 2: 139}
44 Accuracy:  65.06217408744484  predictions:  {0: 1372, 1: 806, 2: 315}
45 Accuracy:  66.10509426393902  predictions:  {0: 1318, 1: 913, 2: 262}
46 Accuracy:  65.06217408744484  predictions:  {0: 1354, 1: 898, 2: 241}
47 Accuracy:  64.21981548335339  predictions:  {0: 1240, 1: 1045, 2: 208}
48 Accuracy:  64.90172482952266  predictions:  {0: 1246, 1: 1001, 2: 246}
49 Accuracy:  65.1022864019254  predictions:  {0: 1357, 1: 911, 2: 225}
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  58.140462889066235  predictions:  {0: 1884, 1: 613, 2: 9}
1 Accuracy:  61.93136472466081  predictions:  {0: 1547, 1: 930, 2: 29}
2 Accuracy:  62.96887470071828  predictions:  {0: 1518, 1: 929, 2: 59}
3 Accuracy:  62.769353551476456  predictions:  {0: 1513, 1: 925, 2: 68}
4 Accuracy:  62.809257781324824  predictions:  {0: 1573, 1: 898, 2: 35}
5 Accuracy:  63.687150837988824  predictions:  {0: 1523, 1: 909, 2: 74}
6 Accuracy:  63.84676775738228  predictions:  {0: 1491, 1: 946, 2: 69}
7 Accuracy:  64.68475658419793  predictions:  {0: 1454, 1: 942, 2: 110}
8 Accuracy:  64.32561851556265  predictions:  {0: 1530, 1: 847, 2: 129}
9 Accuracy:  64.84437350359138  predictions:  {0: 1470, 1: 931, 2: 105}
10 Accuracy:  64.08619313647247  predictions:  {0: 1525, 1: 896, 2: 85}
11 Accuracy:  65.08379888268156  predictions:  {0: 1453, 1: 932, 2: 121}
12 Accuracy:  65.08379888268156  predictions:  {0: 1507, 1: 877, 2: 122}
13 Accuracy:  64.64485235434955  predictions:  {0: 1534, 1: 823, 2: 149}
14 Accuracy:  64.20590582601756  predictions:  {0: 1470, 1: 933, 2: 103}
15 Accuracy:  64.56504389465283  predictions:  {0: 1477, 1: 902, 2: 127}
16 Accuracy:  64.56504389465283  predictions:  {0: 1426, 1: 943, 2: 137}
17 Accuracy:  63.92657621707901  predictions:  {0: 1613, 1: 848, 2: 45}
18 Accuracy:  64.76456504389465  predictions:  {0: 1507, 1: 871, 2: 128}
19 Accuracy:  66.40063846767758  predictions:  {0: 1410, 1: 926, 2: 170}
20 Accuracy:  65.76217079010375  predictions:  {0: 1465, 1: 891, 2: 150}
21 Accuracy:  65.32322426177176  predictions:  {0: 1522, 1: 850, 2: 134}
22 Accuracy:  65.32322426177176  predictions:  {0: 1410, 1: 910, 2: 186}
23 Accuracy:  64.72466081404629  predictions:  {0: 1403, 1: 945, 2: 158}
24 Accuracy:  64.88427773343975  predictions:  {0: 1493, 1: 842, 2: 171}
25 Accuracy:  66.16121308858739  predictions:  {0: 1407, 1: 952, 2: 147}
26 Accuracy:  65.52274541101357  predictions:  {0: 1399, 1: 888, 2: 219}
27 Accuracy:  65.72226656025538  predictions:  {0: 1378, 1: 928, 2: 200}
28 Accuracy:  65.40303272146848  predictions:  {0: 1409, 1: 936, 2: 161}
29 Accuracy:  65.52274541101357  predictions:  {0: 1497, 1: 800, 2: 209}
30 Accuracy:  65.48284118116521  predictions:  {0: 1517, 1: 836, 2: 153}
31 Accuracy:  65.32322426177176  predictions:  {0: 1533, 1: 856, 2: 117}
32 Accuracy:  64.44533120510773  predictions:  {0: 1599, 1: 767, 2: 140}
33 Accuracy:  65.0438946528332  predictions:  {0: 1355, 1: 925, 2: 226}
34 Accuracy:  64.56504389465283  predictions:  {0: 1295, 1: 975, 2: 236}
35 Accuracy:  63.88667198723065  predictions:  {0: 1403, 1: 994, 2: 109}
36 Accuracy:  64.12609736632083  predictions:  {0: 1466, 1: 818, 2: 222}
37 Accuracy:  64.24581005586593  predictions:  {0: 1332, 1: 1055, 2: 119}
