Stratifying data
Window size: (7, 7)
22 Accuracy:  70.69413882776556  predictions:  {0: 2686, 1: 1979, 2: 334}
23 Accuracy:  71.0742148429686  predictions:  {0: 2666, 1: 1987, 2: 346}
24 Accuracy:  71.0742148429686  predictions:  {0: 2756, 1: 1938, 2: 305}
25 Accuracy:  69.4738947789558  predictions:  {0: 2662, 1: 2023, 2: 314}
26 Accuracy:  70.05401080216043  predictions:  {0: 2765, 1: 1940, 2: 294}
27 Accuracy:  69.63392678535708  predictions:  {0: 2827, 1: 1903, 2: 269}
28 Accuracy:  70.03400680136028  predictions:  {0: 2793, 1: 1875, 2: 331}
29 Accuracy:  70.93418683736748  predictions:  {0: 2808, 1: 1863, 2: 328}
30 Accuracy:  69.79395879175834  predictions:  {0: 2766, 1: 1924, 2: 309}
31 Accuracy:  69.1138227645529  predictions:  {0: 2597, 1: 2119, 2: 283}
32 Accuracy:  69.79395879175834  predictions:  {0: 2693, 1: 2010, 2: 296}
33 Accuracy:  70.25405081016203  predictions:  {0: 2701, 1: 1972, 2: 326}
34 Accuracy:  70.43408681736348  predictions:  {0: 2782, 1: 1875, 2: 342}
35 Accuracy:  69.95399079815962  predictions:  {0: 2715, 1: 1994, 2: 290}
36 Accuracy:  69.873974794959  predictions:  {0: 2703, 1: 1988, 2: 308}
37 Accuracy:  70.19403880776154  predictions:  {0: 2680, 1: 1970, 2: 349}
38 Accuracy:  69.93398679735947  predictions:  {0: 2671, 1: 2035, 2: 293}
39 Accuracy:  70.09401880376075  predictions:  {0: 2681, 1: 2029, 2: 289}
40 Accuracy:  70.09401880376075  predictions:  {0: 2776, 1: 1927, 2: 296}
41 Accuracy:  69.873974794959  predictions:  {0: 2667, 1: 2106, 2: 226}
42 Accuracy:  69.85397079415884  predictions:  {0: 2694, 1: 2004, 2: 301}
43 Accuracy:  70.13402680536107  predictions:  {0: 2803, 1: 1896, 2: 300}
44 Accuracy:  69.93398679735947  predictions:  {0: 2705, 1: 1983, 2: 311}
45 Accuracy:  70.01400280056012  predictions:  {0: 2710, 1: 1961, 2: 328}
46 Accuracy:  69.91398279655931  predictions:  {0: 2727, 1: 1967, 2: 305}
47 Accuracy:  69.65393078615723  predictions:  {0: 2820, 1: 1901, 2: 278}
48 Accuracy:  69.35387077415484  predictions:  {0: 2902, 1: 1833, 2: 264}
49 Accuracy:  69.71394278855772  predictions:  {0: 2684, 1: 2009, 2: 306}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  66.55331066213243  predictions:  {0: 2687, 1: 2248, 2: 64}
1 Accuracy:  68.33366673334666  predictions:  {0: 2847, 1: 2008, 2: 144}
2 Accuracy:  68.95379075815164  predictions:  {0: 2817, 1: 2032, 2: 150}
3 Accuracy:  69.09381876375275  predictions:  {0: 2850, 1: 1989, 2: 160}
4 Accuracy:  69.85397079415884  predictions:  {0: 2811, 1: 1984, 2: 204}
5 Accuracy:  68.67373474694939  predictions:  {0: 2620, 1: 2209, 2: 170}
6 Accuracy:  68.57371474294858  predictions:  {0: 2649, 1: 2217, 2: 133}
7 Accuracy:  70.03400680136028  predictions:  {0: 2747, 1: 1995, 2: 257}
8 Accuracy:  70.33406681336267  predictions:  {0: 2804, 1: 1972, 2: 223}
9 Accuracy:  69.93398679735947  predictions:  {0: 2692, 1: 2092, 2: 215}
10 Accuracy:  69.43388677735547  predictions:  {0: 2882, 1: 1978, 2: 139}
11 Accuracy:  69.1138227645529  predictions:  {0: 2942, 1: 1971, 2: 86}
12 Accuracy:  69.39387877575514  predictions:  {0: 2745, 1: 2112, 2: 142}
13 Accuracy:  69.49389877975595  predictions:  {0: 2712, 1: 2124, 2: 163}
14 Accuracy:  69.63392678535708  predictions:  {0: 2765, 1: 2022, 2: 212}
15 Accuracy:  70.11402280456092  predictions:  {0: 2743, 1: 2041, 2: 215}
16 Accuracy:  70.15403080616123  predictions:  {0: 2751, 1: 2012, 2: 236}
17 Accuracy:  70.03400680136028  predictions:  {0: 2658, 1: 2114, 2: 227}
18 Accuracy:  70.33406681336267  predictions:  {0: 2721, 1: 1994, 2: 284}
19 Accuracy:  70.05401080216043  predictions:  {0: 2847, 1: 1991, 2: 161}
